page_index,predicted_label,text_source,text_chars,text_empty,fused_giay_gui_tien_tiet_kiem,fused_the_tiet_kiem_ban_sao,fused_to_trinh_uu_dai_lai_suat,fused_giay_to_chung_minh_cu_tru,img_giay_gui_tien_tiet_kiem,img_the_tiet_kiem_ban_sao,img_to_trinh_uu_dai_lai_suat,img_giay_to_chung_minh_cu_tru
163,to_trinh_uu_dai_lai_suat,empty,0,True,0.752618,0.833539,1.0,0.0,636.9529,645.5184,663.1386,557.2871
164,to_trinh_uu_dai_lai_suat,empty,0,True,0.8705,0.65496,1.0,0.0,634.4534,601.9408,653.9875,503.1452
165,to_trinh_uu_dai_lai_suat,empty,0,True,0.894837,0.693342,1.0,0.0,631.5714,595.2266,650.5404,470.1638
166,the_tiet_kiem_ban_sao,empty,0,True,0.45004,1.0,0.0,0.096225,673.036,704.0939,647.6209,653.0551
167,giay_gui_tien_tiet_kiem,empty,0,True,1.0,0.681861,0.200981,0.0,635.4659,621.3841,600.0988,591.2028
168,giay_gui_tien_tiet_kiem,empty,0,True,1.0,0.779867,0.31984,0.0,504.3428,497.2314,482.3702,472.0378
169,giay_gui_tien_tiet_kiem,empty,0,True,1.0,0.720097,0.0,0.289378,469.6004,463.9109,449.2737,455.1558
170,giay_gui_tien_tiet_kiem,empty,0,True,1.0,0.531225,0.579266,0.0,702.1484,645.876,651.6428,582.1069
171,giay_gui_tien_tiet_kiem,empty,0,True,1.0,0.840502,0.868098,0.0,669.1429,648.6699,652.2121,540.7841
172,to_trinh_uu_dai_lai_suat,empty,0,True,0.655581,0.81103,1.0,0.0,632.6013,648.4207,667.6511,565.8862
173,to_trinh_uu_dai_lai_suat,empty,0,True,0.849136,0.667369,1.0,0.0,630.2053,603.4055,652.4489,505.0079
174,to_trinh_uu_dai_lai_suat,empty,0,True,0.88686,0.681914,1.0,0.0,631.2097,594.2769,651.5984,471.3909
175,the_tiet_kiem_ban_sao,empty,0,True,0.444737,1.0,0.237047,0.0,680.692,707.1569,670.7932,659.4951
176,giay_gui_tien_tiet_kiem,empty,0,True,1.0,0.782072,0.207544,0.0,617.1972,606.4957,578.283,568.0913
177,giay_gui_tien_tiet_kiem,empty,0,True,1.0,0.885432,0.3035,0.0,508.3173,505.114,488.8435,480.3577
178,giay_gui_tien_tiet_kiem,empty,0,True,1.0,0.811132,0.0,0.509968,462.0734,457.9578,440.2825,451.3951
179,giay_gui_tien_tiet_kiem,empty,0,True,1.0,0.523904,0.500167,0.0,709.6011,658.7591,656.2242,602.8116
180,giay_gui_tien_tiet_kiem,empty,0,True,1.0,0.852751,0.948783,0.0,660.5161,641.3275,653.8418,530.2021
181,to_trinh_uu_dai_lai_suat,empty,0,True,0.660049,0.883222,1.0,0.0,617.6644,641.0908,653.349,548.3793
182,to_trinh_uu_dai_lai_suat,empty,0,True,0.864103,0.666781,1.0,0.0,630.3756,600.3331,651.066,498.8152
183,to_trinh_uu_dai_lai_suat,empty,0,True,0.880574,0.70145,1.0,0.0,632.7929,599.4684,655.011,468.9703
184,the_tiet_kiem_ban_sao,empty,0,True,0.484366,1.0,0.108625,0.0,675.9095,706.2511,653.7998,647.408
185,giay_gui_tien_tiet_kiem,empty,0,True,1.0,0.664981,0.0,0.008704,629.0742,615.8824,589.698,590.0407
186,giay_gui_tien_tiet_kiem,empty,0,True,1.0,0.943431,0.384131,0.0,499.1802,497.5664,481.6101,470.6512
187,giay_gui_tien_tiet_kiem,empty,0,True,1.0,0.740074,0.0,0.602643,461.5765,455.3642,437.6763,452.0796
188,giay_gui_tien_tiet_kiem,empty,0,True,1.0,0.609596,0.565706,0.0,702.8961,662.0936,657.5064,598.3824
189,to_trinh_uu_dai_lai_suat,empty,0,True,0.954838,0.874683,1.0,0.0,648.3162,637.6412,654.3308,521.1511
190,to_trinh_uu_dai_lai_suat,empty,0,True,0.740039,0.895129,1.0,0.0,634.2977,648.6708,658.3899,565.7137
191,to_trinh_uu_dai_lai_suat,empty,0,True,0.848347,0.664401,1.0,0.0,632.6917,605.028,655.4988,505.1086
192,to_trinh_uu_dai_lai_suat,empty,0,True,0.896673,0.716324,1.0,0.0,632.7511,599.7372,651.6655,468.6106
193,the_tiet_kiem_ban_sao,empty,0,True,0.562595,1.0,0.0,0.114708,681.5951,702.1015,655.2195,660.5972
194,giay_gui_tien_tiet_kiem,empty,0,True,1.0,0.711235,0.252656,0.0,639.7952,624.5417,600.3181,586.972
195,giay_gui_tien_tiet_kiem,empty,0,True,1.0,0.873041,0.318743,0.0,505.9875,501.9183,484.1526,473.9366
